Site    ,Name                                     ,Lat       ,Lon      ,Start    ,End      , Years ,  %  ,AWS
70313,TARAGO (WOODLAWN MINES)                  ,-35.0667,149.5833,1/3/1979,1/6/1988,5.1,54,  N
70144,TARALGA (CIRCLE C)                       ,-34.4083,149.8835,1/9/1960,1/2/2022,55.5,90,  N
63025,TARALGA (GRATHAWAI)                      ,-34.2833,149.7833,NA,1/12/1985,85.4,96,  N
70125,TARALGA (GREENMANTLE)                    ,-34.4167,149.9667,1/8/1959,1/3/1982,22.5,99,  N
63307,TARALGA (KIRIWIN)                        ,-34.3414,149.7888,1/1/1970,1/12/2019,46.9,94,  N
63125,TARALGA (WOWAGIN)                        ,-34.4402,149.7299,1/2/1961,1/8/2003,41.4,97,  N
70080,TARALGA POST OFFICE                      ,-34.4048,149.8197,NA,1/3/2022,137.7,99,  N
63297,TARANA (FISH RIVER)                      ,-33.5728,149.9128,1/12/2000,1/3/2022,21.3,100,  N
63138,TARANA (ROSELYN)                         ,-33.5167,149.9167,1/9/1959,1/10/1986,27.2,100,  N
63142,TARANA (WONGA)                           ,-33.5768,149.8591,1/9/1959,1/2/2022,32.8,52,  N
63215,TARANA TOWNSHIP                          ,-33.5333,149.9167,NA,1/2/1928,21.9,70,  N
72069,TARCUTTA                                 ,-35.3,147.7,NA,1/6/1927,55.5,100,  N
72165,TARCUTTA (KEAJURA (MERKAH))              ,-35.3219,147.645,1/7/2003,1/2/2006,2.6,97,  N
72148,TARCUTTA (RYEDALE)                       ,-35.3167,147.75,1/5/1911,1/1/1917,5.8,100,  N
72008,TARCUTTA (WOLLUMBI)                      ,-35.3874,147.5662,NA,1/12/2021,106.1,82,  N
72071,TARCUTTA 3                               ,-35.3167,147.75,1/5/1900,1/12/1914,11.5,78,  N
72042,TARCUTTA POST OFFICE                     ,-35.2765,147.7362,NA,1/2/2022,150,100,  N
60030,TAREE (PATANGA CL)                       ,-31.8908,152.4709,NA,1/2/2022,135.7,97,  N
60141,TAREE AIRPORT AWS                        ,-31.8895,152.512,1/7/1997,1/3/2022,24.8,100,  Y
47072,TAREENA                                  ,-33.9667,141.0333,NA,1/2/1927,42.3,100,  N
70081,TARLO (BLYTHBURN)                        ,-34.6,149.8,1/3/1945,1/12/1978,33.8,100,  N
54095,TARRIARO                                 ,-30.3,149.9,NA,1/7/1921,38.6,100,  N
49079,TARRWONG                                 ,-33.9,144.4,NA,1/6/1922,37.3,100,  N
58053,TATHAM                                   ,-28.9333,153.15,1/3/1939,1/6/1969,21.8,72,  N
69089,TATHRA (PANORAMA DRIVE)                  ,-36.7227,149.9736,1/5/2002,1/12/2014,12.7,100,  N
69027,TATHRA POST OFFICE                       ,-36.7297,149.9856,1/5/1902,1/1/2003,85.9,85,  N
56197,TATIARA (GENCAIRN)                       ,-29.7,151.7,1/1/1912,1/9/1925,9.6,70,  N
61301,TAYAR CREEK (THE NILE)                   ,-32.9333,150.2833,1/3/1930,1/3/1954,21.4,89,  N
59032,TAYLORS ARM                              ,-30.7794,152.7024,1/1/1949,1/2/2022,60.8,83,  N
59149,TAYLORS ARM (LEMON GROVE)                ,-30.7846,152.7071,1/8/1997,1/10/2017,17.1,84,  N
70082,TAYLORS FLAT (DAVISLEA)                  ,-34.2745,149.0232,1/6/1926,1/1/2015,82.8,93,  N
70264,TAYLORS FLAT (GUNNARY (BURNBRAE))        ,-34.3736,148.8221,1/1/1984,1/9/2018,32.5,93,  N
46108,TEILTA                                   ,-30.9333,141.2333,1/1/1911,1/6/1918,6.5,87,  N
55234,TELBA                                    ,-31.0167,150.4833,1/8/1906,1/1/1989,8.7,10,  N
60031,TELEGRAPH POINT (FARRAWELLS ROAD)        ,-31.3363,152.7852,1/3/1910,1/1/2022,111.4,99,  N
70193,TELOPEA PARK                             ,-35.5667,149.1,1/10/1909,1/10/1933,17.3,72,  N
73143,TEMORA (NARRABURRA (ATTUNGA))            ,-34.29,147.6802,1/7/2003,1/10/2004,1.3,100,  N
73151,TEMORA AIRPORT                           ,-34.4277,147.5117,1/2/2005,1/3/2022,17.2,100,  Y
73037,TEMORA AMBULANCE STATION                 ,-34.444,147.533,NA,1/2/2022,136.9,96,  N
73038,TEMORA RESEARCH STATION                  ,-34.4061,147.5248,1/8/1934,1/3/2011,76.3,100,  N
56031,TENTERDEN                                ,-30.1,151.5,NA,1/7/1956,75.6,100,  N
56057,TENTERDEN (BALOOK)                       ,-30.0867,151.3909,1/8/1956,1/2/2022,65.6,100,  N
56185,TENTERDEN (RAMAH)                        ,-30.1833,151.3333,1/7/1963,1/2/1977,13.4,98,  N
56050,TENTERFIELD (ABERFELDIE)                 ,-29.0198,151.7462,1/7/1948,1/3/2022,73.6,100,  N
56047,TENTERFIELD (BACK CREEK HMSD)            ,-28.9333,151.7,1/2/1953,1/3/1970,17.2,100,  N
57099,TENTERFIELD (BILLARIMBA)                 ,-29.1833,152.2333,1/12/1964,1/10/1978,13.2,95,  N
56059,TENTERFIELD (COOREDULLA)                 ,-29.05,152.1,1/1/1958,1/12/1969,11.3,94,  N
56032,TENTERFIELD (FEDERATION PARK)            ,-29.0479,152.0172,NA,1/3/2022,151.3,100,  N
56194,TENTERFIELD (KOOKYNIE)                   ,-29.2716,151.8612,1/1/1995,1/3/2021,26.3,100,  N
56052,TENTERFIELD (MOLE STATION)               ,-29.0988,151.7416,1/7/1950,1/1/2022,71.6,100,  N
56044,TENTERFIELD (SAILOR JACK)                ,-28.9506,151.7552,1/1/1932,1/11/2005,72.7,98,  N
56212,TENTERFIELD (SANDY HILL (BOOROOK))       ,-28.8433,152.2533,1/4/1970,1/6/2009,39.3,100,  N
56046,TENTERFIELD (SPRINGSIDE)                 ,-29.1061,151.9489,1/5/2001,1/3/2018,16.7,98,  N
57025,TENTERFIELD (SURFACE HILL)               ,-29.2,152.3,1/7/1939,1/4/1944,4.8,100,  N
56155,TENTERFIELD 2                            ,-29.0667,152.0833,NA,1/4/1914,23.2,83,  N
53058,TERALA                                   ,-29.15,149.95,NA,1/12/1915,13,72,  N
68084,TERARA                                   ,-34.8667,150.6333,1/1/1961,1/6/1965,3.8,83,  N
53097,TERIDGERIE (GWANDALLA)                   ,-30.8667,148.8333,1/3/1973,1/10/1974,1.7,100,  N
51045,TERIDGERIE POST OFFICE                   ,-30.8833,148.85,1/7/1914,1/11/1958,44.4,100,  N
58163,TERRANORA                                ,-28.2167,153.4667,1/7/1974,1/11/1975,1.4,100,  N
66077,TERREY HILLS                             ,-33.6833,151.2333,1/10/1963,1/2/1966,2.3,96,  N
66059,TERREY HILLS AWS                         ,-33.6908,151.2253,1/9/2004,1/3/2022,17.6,100,  Y
53039,TERRY HIE HIE                            ,-29.8,150.2,1/4/1901,1/9/1953,50.8,97,  N
53108,TERRY HIE HIE                            ,-29.7913,150.1503,1/7/1981,1/3/2022,22.2,54,  N
53090,TERRY HIE HIE (ROCKDALE)                 ,-29.8167,150.1667,1/2/1967,1/12/1969,2.9,100,  N
54137,TERRY HIE HIE (YUENDOO)                  ,-29.7667,150.2667,1/5/1909,1/11/1917,8.5,99,  N
47034,TERYAWYNIA                               ,-32.2,143.6,NA,1/9/1965,89.7,100,  N
47035,THACKARINGA                              ,-32,141.1,NA,1/10/1949,57.2,97,  N
47088,THACKARINGA TOWN                         ,-32,141.1,NA,1/3/1918,27.7,100,  N
47073,THARINGA TANK                            ,-32,141.1,NA,1/10/1923,31.4,96,  N
70083,THARWA GENERAL STORE                     ,-35.509,149.0667,1/8/1938,1/6/2016,73.3,94,  N
58147,THE CHANNON                              ,-28.6792,153.2775,1/7/1926,1/1/2022,67.8,71,  N
75157,THE CUBAS                                ,-33.8667,144.8833,NA,1/10/1917,30.3,99,  N
73039,THE ELMS                                 ,-35.0167,148.25,1/4/1925,1/2/1965,36.6,92,  N
61074,THE ENTRANCE (ELOORA STREET)             ,-33.3531,151.4964,1/3/1943,1/3/2015,70,97,  N
70134,THE FOREST (BIDGEE)                      ,-34.6167,149.7333,1/8/1959,1/7/1976,17,100,  N
51046,THE GINGHET                              ,-30.5,147.3,NA,1/6/1967,69.3,100,  N
51097,THE GRANGE                               ,-31.3833,148.1333,1/5/1901,1/10/1925,24.5,100,  N
68155,THE HILL                                 ,-34.5833,150.8,NA,1/9/1919,24.1,100,  N
63236,THE LAGOON (SPRINGFIELD)                 ,-33.5544,149.6038,1/5/1968,1/9/2016,47.2,97,  N
48117,THE LAKE TANK                            ,-29.7,145.9,NA,1/2/1925,32.2,86,  N
48118,THE MEADOWS TANK                         ,-31.55,145.25,NA,1/6/1939,34.7,83,  N
55249,THE OAKS                                 ,-31.8,150.6167,1/3/1965,1/10/1972,3.7,48,  N
68059,THE OAKS JOHN STREET                     ,-34.0833,150.5833,1/9/1912,1/4/1975,54.8,87,  N
74177,THE OLIVES                               ,-35.9,146.7,NA,1/1/1925,38.8,100,  N
50073,THE OVERFLOW                             ,-32.2,146.6,NA,1/9/1932,34.1,90,  N
56187,THE RANCH 2                              ,-28.9333,151.7,1/6/1908,1/12/1914,6.1,92,  N
61194,THE RANCH 2 (MARTINDALE)                 ,-32.6,150.7167,1/1/1962,1/3/1969,6.5,90,  N
74021,THE ROCK (BULLENBONG)                    ,-35.1555,146.9356,NA,1/12/2012,125.8,96,  N
74237,THE ROCK (MIARB)                         ,-35.2469,147.1446,1/9/1974,1/6/2015,40.3,99,  N
74104,THE ROCK POST OFFICE                     ,-35.2683,147.1142,NA,1/3/2022,124.3,97,  N
48204,THE ROOKERY                              ,-31.7167,146.0833,NA,1/12/1917,29.3,95,  N
71018,THE WARREN                               ,-36.2,148.6,1/6/1923,1/2/1958,34.8,100,  N
