Site    ,Name                                     ,Lat       ,Lon      ,Start    ,End      , Years ,  %  ,AWS
70156,CURRAGHMORE                              ,-36.65,149.35,1/5/1962,1/12/1973,11.7,100,  N
74036,CURRAJONG                                ,-34.9,146.5,1/5/1912,1/9/1951,36.4,92,  N
70102,CURRANDOOLEY                             ,-35.1667,149.5,NA,1/6/1925,42.8,100,  N
71004,CURRANGORAMBLA                           ,-35.7333,148.6833,1/1/1921,1/7/1959,36.9,96,  N
48147,CURRANYALPA                              ,-31.1,144.4,NA,1/6/1924,34.7,99,  N
74022,CURRAWARNA (BULLS RUN)                   ,-34.95,146.9333,NA,1/12/1975,90.9,100,  N
48033,CURRAWEENA                               ,-30.8,145.9,NA,1/12/1944,48.3,75,  N
69141,CURROWAN (WILD PIG RD)                   ,-35.5721,150.1804,1/2/1993,1/2/2005,12.1,100,  N
70248,CURTIN                                   ,-35.3333,149.0833,1/7/1971,1/12/1986,15.5,100,  N
46102,CUTHAWANA 2                              ,-31.55,142.6333,NA,1/9/1918,16.3,47,  N
53094,CUTTABRI (ATHLONE)                       ,-30.3483,149.1333,1/8/1971,1/9/2019,46.8,97,  N
53074,CUTTABRI (TALLWOOD)                      ,-30.4,149.15,1/9/1966,1/9/1974,8.1,100,  N
48148,CUTTYGULLYAROO TANK                      ,-31.3,145.8,NA,1/7/1927,25.7,72,  N
49099,D-BLOCK                                  ,-33.9667,143.4667,NA,1/1/1918,28.1,97,  N
51011,DAHOMEY                                  ,-30.45,148.2,1/7/1938,1/6/1951,12.5,96,  N
58194,DAIRY FLAT                               ,-28.3811,152.7174,1/4/1986,1/2/2022,26.2,73,  N
55211,DALBLAIR                                 ,-31.1167,150.7667,NA,1/11/1920,22.2,100,  N
73010,DALEWYN                                  ,-35,147.5,1/1/1911,1/12/1938,27.8,99,  N
70337,DALGETY  (JIMENBUEN)                     ,-36.7252,148.8548,1/11/1993,1/9/2015,11.2,51,  N
71068,DALGETY (GOLDFIELDS)                     ,-36.4829,148.784,1/3/2004,1/3/2015,10.9,98,  N
71005,DALGETY (HAMILTON ST)                    ,-36.503,148.8404,NA,1/2/2022,124.1,98,  N
70159,DALGETY (IRONMONGIE)                     ,-36.6,148.9333,1/1/1946,1/7/1974,28.3,99,  N
70162,DALGETY (OAKLEIGH)                       ,-36.7833,148.8667,1/1/1961,1/7/1973,12.6,100,  N
70279,DALGETY (REYNELLA)                       ,-36.76,148.8483,1/1/1974,1/6/1992,17.3,93,  N
70153,DALGETY (SEVERN PARK)                    ,-36.4645,148.9341,1/6/1962,1/12/2021,59.4,100,  N
69122,DALMENY (BINALONG ST)                    ,-36.1662,150.11,1/9/2009,1/3/2022,12.5,99,  N
69131,DALMENY (MUMMUGA WAY)                    ,-36.1675,150.125,1/1/1983,1/8/2009,26.7,100,  N
57004,DALMORTON HOMESTEAD                      ,-29.8317,152.4067,NA,1/12/1970,68.8,92,  N
70362,DALTON (HILLVIEW)                        ,-34.7216,149.1716,1/7/2019,1/9/2019,0.3,99,  N
70296,DALTON (MILVERTON)                       ,-34.7153,148.9925,1/3/1978,1/8/2021,43.4,100,  N
70117,DALTON (ROSE VALLEY)                     ,-34.7169,149.1207,1/11/1960,1/2/2022,61.2,100,  N
70112,DALTON POST OFFICE                       ,-34.7224,149.1817,NA,1/2/2022,79.8,65,  N
50086,DANDALOO (HAZELBROOK)                    ,-32.4004,147.7347,1/1/1995,1/12/2019,24.8,99,  N
50018,DANDALOO (KELVIN)                        ,-32.2884,147.6671,NA,1/12/2021,130.8,99,  N
50113,DANDALOO (SKYE)                          ,-32.2752,147.6195,NA,1/11/2006,102.1,93,  N
50039,DANDALOO (TYRIE HOMESTEAD)               ,-32.2367,147.5538,NA,1/12/2021,113,81,  N
70182,DANDELONG                                ,-36.25,149.25,1/2/1903,1/7/1924,20.8,97,  N
61015,DANGERFIELD                              ,-32.15,151,1/10/1933,1/12/1965,32,99,  N
55016,DANGLEMAH (RUTHERGLEN)                   ,-30.9963,151.2292,1/1/1951,1/3/2022,66.3,93,  N
51082,DAPPO                                    ,-32.3667,148.45,1/4/1903,1/12/1920,17.8,100,  N
68022,DAPTO BOWLING CLUB                       ,-34.5,150.7885,1/1/1906,1/2/2017,100.6,90,  N
68023,DAPTO WEST (STANE DYKES)                 ,-34.4708,150.7736,NA,1/8/1987,89.7,100,  N
70074,DARBYS FALLS (RIVERSLEA)                 ,-33.9667,148.8833,1/6/1900,1/3/1977,70.8,92,  N
71039,DARGANS FLAT                             ,-36.7,148.9,1/10/1909,1/3/1922,10,80,  N
68024,DARKES FOREST (KINTYRE)                  ,-34.2272,150.9111,NA,1/3/2022,124.5,97,  N
59046,DARKWOOD                                 ,-30.4383,152.6467,1/4/1956,1/12/1979,23.3,98,  N
75010,DARLINGTON POINT (BRINGAGEE)             ,-34.5131,145.7885,NA,1/12/2016,120.4,98,  N
75166,DARLINGTON POINT (COUNCIL DEPOT)         ,-34.5689,145.9975,1/3/1909,1/7/2020,106.7,96,  N
74248,DARLINGTON POINT (MANNINGS CLUMP)        ,-34.785,146.1083,1/1/1981,1/8/1989,7.6,87,  N
74109,DARLINGTON POINT (TUBBO WELL)            ,-34.75,146.1667,1/1/1932,1/4/1971,39.3,100,  N
74108,DARLINGTON POINT (TUBBO)                 ,-34.6313,146.0941,NA,1/12/2003,124,96,  N
74260,DARLINGTON POINT (TUBBO2)                ,-34.6856,146.2387,1/1/2004,1/12/2009,6,100,  N
61124,DARTMOUTH                                ,-32.3,150.9,NA,1/1/1922,39.9,95,  N
74038,DAYSDALE (DENNISON STREET)               ,-35.6447,146.3018,1/11/1914,1/3/2013,96.6,98,  N
70251,DEAKIN DENISON STREET                    ,-35.3239,149.0906,1/7/1971,1/7/1997,25.6,98,  N
52040,DEENDERRAH                               ,-30.1,148.6,1/1/1922,1/12/1936,15,100,  N
56054,DEEPWATER (GLEN GOWRIE)                  ,-29.5,152.0333,1/4/1962,1/12/1975,13.8,100,  N
56090,DEEPWATER (VALLEY VIEW)                  ,-29.4833,151.7667,1/10/1958,1/1/1975,15.3,94,  N
56008,DEEPWATER POST OFFICE                    ,-29.4421,151.8483,NA,1/3/2022,133.1,100,  N
59012,DEER VALE                                ,-30.3167,152.55,1/1/1913,1/8/1974,61.1,99,  N
70239,DELEGATE (WALLENDIBBY EAST)              ,-36.8984,148.7425,1/1/1943,1/8/2009,66.7,100,  N
70027,DELEGATE (WEEWALLA)                      ,-37.0488,148.993,NA,1/1/2019,129.3,100,  N
70026,DELEGATE POST OFFICE                     ,-37.0434,148.9425,NA,1/7/2004,106.5,99,  N
70309,DELEGATE RIVER AT QUIDONG                ,-36.9131,149.0372,1/12/2000,1/3/2022,20.6,96,  N
70107,DELEGATE STATION                         ,-37.0476,148.9283,1/1/1909,1/2/2022,113.2,100,  N
54016,DELUNGRA (CRAIGMORE)                     ,-29.4408,150.7858,NA,1/12/2021,92.6,70,  N
54027,DELUNGRA (PEARSBY HALL)                  ,-29.5581,150.8871,1/1/1918,1/3/2022,101.8,98,  N
54013,DELUNGRA POST OFFICE                     ,-29.654,150.8291,1/11/1924,1/2/2022,88.1,90,  N
75082,DENILIQUIN (KALAWAR)                     ,-35.2333,144.5667,1/1/1952,1/6/1978,24,91,  N
74270,DENILIQUIN (MAYRUNG (MELBERGEN))         ,-35.4729,145.3032,1/10/2012,1/2/2022,9.4,100,  N
74265,DENILIQUIN (MAYRUNG (MURRAY PINE))       ,-35.4662,145.316,1/7/2003,1/9/2012,8.9,96,  N
75168,DENILIQUIN (NOONAMEENA)                  ,-35.3383,144.695,1/3/1967,1/4/1990,22.2,96,  N
74128,DENILIQUIN (VISITOR INFORMATION CENTRE)  ,-35.5283,144.9651,NA,1/10/2021,161.5,99,  N
74258,DENILIQUIN AIRPORT AWS                   ,-35.5575,144.9458,1/6/1997,1/3/2022,24.8,100,  Y
74039,DENILIQUIN FALKINER MEMORIAL             ,-35.3667,145.05,1/10/1947,1/11/1977,30.2,100,  N
74086,DENILIQUIN NORWOOD                       ,-35.5167,145.05,NA,1/10/1972,81.8,99,  N
61233,DENMAN (HORSESHOE)                       ,-32.5,150.8,1/9/1964,1/12/1975,11.3,100,  N
61111,DENMAN (MARTINDALE)                      ,-32.4833,150.6833,NA,1/12/1924,44.1,92,  N
61112,DENMAN (MERTON)                          ,-32.4,150.7167,1/1/1909,1/7/1918,9.6,100,  N
61016,DENMAN (PALACE STREET)                   ,-32.3885,150.6886,NA,1/9/2014,131.8,100,  N
52049,DERRA                                    ,-29.55,149.2667,NA,1/3/1920,33.9,99,  N
50095,DERRIBONG TANK                           ,-32.5667,148.0333,NA,1/12/1908,17.1,99,  N
73071,DEVLINS FOREST                           ,-34.4833,147.5833,1/4/1905,1/11/1918,13.7,100,  N
56159,DEVON COURT                              ,-30.2667,151.4667,1/12/1903,1/5/1914,10.5,100,  N
60025,DIAMOND HEAD (POBBLEBONKS)               ,-31.7547,152.7456,1/1/1997,1/12/2005,8.9,99,  N
70029,DICKSON                                  ,-35.25,149.1,1/9/1942,1/3/1962,19.6,100,  N
64031,DIGILAH                                  ,-31.8833,149.3833,NA,1/8/1916,17.4,94,  N
69076,DIGNAMS CREEK                            ,-36.3,150,1/2/1912,1/12/1929,17.9,100,  N
53093,DINBY                                    ,-30.8,148.85,NA,1/12/1955,68.7,98,  N
54069,DINTON VALE (BERRILEE)                   ,-29.5998,151.1562,1/8/1958,1/12/2020,61.2,98,  N
75165,DIRRUNG (WEEPOOL)                        ,-33.6131,145.4564,1/1/1961,1/12/1998,38,100,  N
53009,DOBIKIN                                  ,-29.9,149.7,NA,1/7/1948,53.7,92,  N
50096,DOBROYDE                                 ,-32.3,147.4833,NA,1/3/1917,27.1,100,  N
58183,DOON DOON (DOUGHBOY MOUNTAIN)            ,-28.5013,153.3059,1/3/1980,1/7/2001,20.8,97,  N
58019,DOON DOON (MCCABES ROAD)                 ,-28.5314,153.3151,1/1/1952,1/1/2022,64,91,  N
62041,DOONDI                                   ,-32.0333,149.8167,1/10/1960,1/12/1970,9.9,97,  N
61219,DOORALONG                                ,-33.1833,151.35,1/1/1963,1/9/1976,13.8,100,  N
51083,DOOROOMBAH                               ,-31.3833,148.8333,1/7/1900,1/12/1925,25.5,100,  N
61323,DORA CREEK (COORANBONG ROAD)             ,-33.08,151.4919,1/9/1972,1/12/1993,21.3,100,  N
61282,DORA CREEK (DORA ST)                     ,-33.086,151.5085,1/7/1907,1/3/2022,29.8,26,  N
53052,DOREEN                                   ,-30,149.3,NA,1/9/1945,52,93,  N
59115,DORRIGO (DEER VALE ROAD)                 ,-30.35,152.5333,1/9/1974,1/12/1975,1.3,100,  N
59144,DORRIGO (ELM STREET)                     ,-30.3292,152.7044,1/5/2007,1/2/2022,14.8,100,  N
59083,DORRIGO (LEARMONTHS FARM)                ,-30.35,152.6333,1/4/1968,1/1/1974,3.1,53,  N
59067,DORRIGO (MYRTLE ST)                      ,-30.3439,152.7128,1/1/1954,1/5/1999,44.8,99,  N
59140,DORRIGO (OLD CORAMBA RD)                 ,-30.3444,152.7187,1/1/1997,1/3/2022,25.3,100,  N
59099,DORRIGO POLICE STATION                   ,-30.3433,152.71,1/1/1969,1/12/1978,9.1,91,  N
59013,DORRIGO POST OFFICE                      ,-30.3422,152.7117,1/5/1905,1/10/2002,84,86,  N
58111,DOUBTFUL GREEK                           ,-28.7167,152.8833,1/11/1965,1/3/1967,0.6,41,  N
68200,DOUGLAS PARK ( ST. MARYS TOWERS)         ,-34.2075,150.7095,1/2/1974,1/2/2022,47,98,  N
68127,DOUGLAS PARK POST OFFICE                 ,-34.1833,150.7167,1/12/1962,1/2/1977,13.2,92,  N
66209,DOVER HEIGHTS (PORTLAND ST)              ,-33.8715,151.2795,1/4/2007,1/3/2022,15,100,  N
61269,DOYLES CREEK (DOYLES 2)                  ,-32.5333,150.8,1/11/1967,1/5/1968,0.6,100,  N
61130,DOYLES CREEK (WOOD PARK)                 ,-32.5118,150.7964,1/1/1920,1/2/2022,91.4,89,  N
60041,DOYLES RIVER STATE FOREST                ,-31.4167,152.15,1/10/1952,1/12/1977,23.6,93,  N
57005,DRAKE (VILLAGE RESOURCE CENTRE)          ,-28.9279,152.3759,NA,1/3/2022,130.3,100,  N
62079,DRIPSTONE (GEMARL)                       ,-32.6532,148.9819,1/9/1968,1/11/2003,5.8,17,  N
75098,DRY LAKE 2                               ,-34.8,144.2,1/7/1911,1/4/1928,14.8,88,  N
75136,DRY LAKE POST OFFICE                     ,-34.8,144.2,1/6/1906,1/2/1923,16.7,99,  N
46057,DRY LAKE TANK                            ,-31.3833,143.1833,NA,1/11/1921,24.9,81,  N
48149,DRYSDALE TANK                            ,-31.1333,145.8333,NA,1/5/1915,19.8,91,  N
65012,DUBBO (DARLING STREET)                   ,-32.2385,148.6089,NA,1/10/2009,135.7,97,  N
65092,DUBBO (JAYMARK ROAD)                     ,-32.2278,148.6939,1/1/1984,1/7/1997,11.8,86,  N
65008,DUBBO (JEMALUANG)                        ,-32.334,148.6361,1/12/1999,1/12/2010,11.1,100,  N
65030,DUBBO (MENTONE)                          ,-32.5192,148.5188,NA,1/2/2022,127.4,100,  N
65106,DUBBO (MOGRIGUY (KYARRA))                ,-32.0358,148.6552,1/10/2003,1/1/2022,18.3,99,  N
65107,DUBBO (MURONBUNG (BRIDGEVIEW))           ,-32.1713,148.971,1/1/1948,1/11/2011,62.8,98,  N
65082,DUBBO (WILBERTREE)                       ,-32.3549,148.5789,NA,1/5/2014,49,38,  N
51091,DUBBO AIRPORT (OLD TOWER)                ,-32.2201,148.5695,1/1/2010,1/11/2021,11.8,99,  N
65070,DUBBO AIRPORT AWS                        ,-32.2206,148.5753,1/6/1994,1/3/2022,27.8,100,  Y
65037,DUBBO STATE FOREST                       ,-32.2667,148.6167,1/9/1953,1/12/1967,13.8,96,  N
65069,DUBBO WEST                               ,-32.3,148.6,NA,1/3/1915,31.3,100,  N
63101,DUCKMALOI RIVER                          ,-33.75,149.8833,1/7/1954,1/4/1967,12.8,100,  N
73072,DUDAUMAN                                 ,-34.6167,147.75,NA,1/11/1925,26.1,100,  N
66142,DUFFYS FOREST (NAMBA RD)                 ,-33.6761,151.1818,1/2/1969,1/1/2022,39.1,74,  N
58172,DUM DUM PUBLIC SCHOOL                    ,-28.3833,153.3333,1/11/1936,1/7/1939,2.8,100,  N
56196,DUMARESQ                                 ,-30.4667,151.5833,1/7/1903,1/1/1927,23.3,99,  N
56221,DUMARESQ (KIEWA)                         ,-30.4833,151.5833,1/9/1976,1/7/1980,3.9,100,  N
48035,DUMBLE                                   ,-29.2,147.4,NA,1/6/1953,74.3,100,  N
48150,DUMEINDI                                 ,-29.1167,148.7333,NA,1/4/1923,26,97,  N
57006,DUMPE                                    ,-29.4667,152.45,1/5/1920,1/5/1971,50.8,99,  N
59077,DUNDARRABIN (OBLO)                       ,-30.2,152.4667,1/11/1964,1/1/1966,1.3,100,  N
66174,DUNDAS                                   ,-33.8167,151.0333,1/5/1962,1/12/1967,4.5,79,  N
56097,DUNDEE (BURILDA)                         ,-29.6167,151.8,1/8/1958,1/12/1971,13.4,100,  N
56092,DUNDEE (GOCUP)                           ,-29.5167,151.8833,1/8/1958,1/11/1967,9.1,97,  N
56098,DUNDEE (KARINGA)                         ,-29.5817,151.9483,1/1/1959,1/2/2022,63.1,100,  N
56106,DUNDEE (KUBBA-JIMBA)                     ,-29.6167,151.9167,1/8/1958,1/3/1968,9.5,98,  N
56091,DUNDEE (MALA BOGIE)                      ,-29.55,151.8167,1/2/1959,1/10/1970,11.8,100,  N
56093,DUNDEE (MINI GLEN)                       ,-29.5667,151.8667,1/1/1959,1/11/1973,14.9,100,  N
56025,DUNDEE (RANGERS VALLEY)                  ,-29.5333,151.75,1/10/1905,1/3/1971,63.3,97,  N
56094,DUNDEE (WATTLE DALE)                     ,-29.5488,151.9959,1/10/1958,1/1/2022,63.3,100,  N
65052,DUNDULLIMAL                              ,-32.3,148.6,NA,1/5/1949,64.3,100,  N
64011,DUNEDOO (MARTINDALE 2)                   ,-32,149.4,1/9/1959,1/12/1988,24.3,83,  N
64029,DUNEDOO (SHELL)                          ,-32.0156,149.3925,1/8/2001,1/3/2022,19.5,94,  N
64009,DUNEDOO POST OFFICE                      ,-32.0165,149.3956,1/1/1912,1/3/2022,110.3,100,  N
48152,DUNGLE                                   ,-29.2667,148.3333,NA,1/2/1914,19.7,99,  N
61227,DUNGOG (COOREII)                         ,-32.4,151.75,NA,1/7/1919,33,100,  N
61364,DUNGOG (LEAWOOD)                         ,-32.3655,151.6826,1/1/1981,1/5/2015,34.4,100,  N
61106,DUNGOG (MONKERAI HILL (URIMBIRRA))       ,-32.3564,151.8059,1/2/2001,1/3/2022,20.1,95,  N
61122,DUNGOG (TILLEGRA)                        ,-32.3167,151.7167,1/3/1960,1/10/1986,26.6,100,  N
61415,DUNGOG (UPPER MYALL CREEK)               ,-32.3492,151.6447,1/12/2008,1/3/2022,13.3,100,  N
61361,DUNGOG (WALLARINGA)                      ,-32.4678,151.6833,1/3/1988,1/12/1997,9.8,100,  N
61332,DUNGOG (WANGAT)                          ,-32.25,151.6833,1/5/1912,1/6/1920,7.8,95,  N
61170,DUNGOG - MAIN CREEK (YERANDA)            ,-32.2809,151.7948,1/5/1960,1/3/2022,58.4,94,  N
61017,DUNGOG POST OFFICE                       ,-32.4022,151.7581,NA,1/2/2022,122.8,98,  N
55170,DUNGOWAN (AVOCA)                         ,-31.2188,151.1167,1/1/1959,1/5/2016,51.1,89,  N
55162,DUNGOWAN (ECHO HILLS)                    ,-31.1728,151.1958,1/8/1958,1/11/2004,39.3,85,  N
55309,DUNGOWAN (GLENDOWER MOUNTAIN (LECONFIELD ,-31.1457,151.232,1/5/2006,1/3/2022,15.8,99,  N
55181,DUNGOWAN (RAVENCROFT)                    ,-31.2547,151.1208,1/8/1958,1/2/2022,60.9,96,  N
55178,DUNGOWAN (WEEN ALLYN)                    ,-31.5314,151.9331,1/8/1958,1/3/1977,12.3,66,  N
55326,DUNGOWAN POST OFFICE                     ,-31.2141,151.1191,1/1/1990,1/6/2008,15.8,85,  N
55171,DUNGOWAN STATION                         ,-31.2533,151.185,NA,1/12/1990,59.5,57,  N
48037,DUNLOP                                   ,-30.6333,145.0167,NA,1/7/1973,83.3,89,  N
68113,DUNMORE (KURRAWONG)                      ,-34.6,150.85,1/11/1962,1/7/1974,11.8,100,  N
50107,DUNMORE (YARRABIN)                       ,-32.7333,147.9833,1/1/1969,1/1/1974,5.1,100,  N
73011,DUNOLLIE                                 ,-34.5,148.1,1/5/1936,1/9/1953,17.4,100,  N
58021,DUNOON                                   ,-28.6875,153.3186,NA,1/7/1951,39,70,  N
61280,DUNWELL                                  ,-31.9667,150.7167,NA,1/12/1916,37,97,  N
66092,DURAL                                    ,-33.6833,151.0333,1/1/1963,1/9/1972,9.8,100,  N
67086,DURAL (OLD NORTHERN ROAD)                ,-33.6837,151.0273,1/4/1973,1/5/2018,45.2,100,  N
63221,DURAL DEMONSTRATION ORCHARD              ,-33.6833,150.1333,1/1/1910,1/9/1915,5.8,100,  N
67058,DURAL PUBLIC SCHOOL                      ,-33.7333,151.0833,NA,1/1/1918,32.5,43,  N
55074,DURI                                     ,-31.2,150.8,1/10/1906,1/11/1955,36.9,75,  N
55183,DURI (ASHGROVE) NO 142                   ,-31.297,150.8591,1/8/1958,1/3/2022,63.7,100,  N
55257,DURI (DUNGOWAN RD)                       ,-31.2191,150.8228,1/8/2001,1/3/2022,20.6,100,  N
55174,DURI (NARDOO)                            ,-31.25,150.8,1/8/1958,1/7/1989,30.8,99,  N
55329,DURI (RIVERLODGE)                        ,-31.169,150.8779,1/8/2002,1/9/2015,13.1,99,  N
55167,DURI (WYALLA)                            ,-31.1833,150.75,1/8/1958,1/2/2000,25.5,61,  N
55311,DURI POST OFFICE                         ,-31.2171,150.8185,1/2/1984,1/2/2022,38.1,100,  N
48146,DWYERS (CORRILLA TANK)                   ,-30.5,145.9333,1/6/1912,1/10/1928,13.8,84,  N
60143,DYERS CROSSING (WANG WAUK ROAD)          ,-32.1611,152.2522,1/1/1995,1/9/1996,1.7,95,  N
58132,DYRAABA CENTRAL                          ,-28.7167,152.8667,1/7/1967,1/12/1977,10.5,100,  N
58022,DYRAABA CREEK                            ,-28.7567,152.8163,1/4/1939,1/12/2005,14,21,  N
58151,DYRAABA CREEK (TUBUMOREY)                ,-28.75,152.85,1/8/1970,1/1/1973,2.5,100,  N
61283,EAGLETON                                 ,-32.7,151.7667,1/1/1912,1/8/1924,8.9,70,  N
66018,EARLWOOD BOWLING CLUB                    ,-33.9333,151.1167,1/8/1914,1/3/1975,56.3,93,  N
61034,EAST MAITLAND BOWLING CLUB               ,-32.7483,151.5833,1/8/1902,1/2/1994,85.5,93,  N
48076,EAST TOORALE (TOORALE STATION)           ,-30.2833,145.3833,NA,1/12/1975,94.3,95,  N
67000,EASTERN CREEK (WONDERLAND)               ,-33.8022,150.8479,1/2/2000,1/2/2004,3.3,82,  N
66087,EASTWOOD BOWLING CLUB                    ,-33.7933,151.0862,1/1/1955,1/4/2004,40.2,81,  N
66019,EASTWOOD COCOS AVENUE                    ,-33.7833,151.0833,1/2/1927,1/6/1961,34.4,100,  N
57001,EBOR (GLENOWEN)                          ,-30.3659,152.2315,1/1/1902,1/9/2020,108.5,91,  N
57010,EBOR (KOTUPNA)                           ,-30.4333,152.3292,NA,1/12/1994,106.7,99,  N
57102,EBOR (MAPLEWOOD)                         ,-30.4489,152.3133,1/2/1974,1/3/2021,46.2,98,  N
57125,EBOR (PLEASANT VIEW)                     ,-30.3969,152.358,1/1/1995,1/2/2022,27.1,100,  N
59019,EBOR (THE RACECOURSE)                    ,-30.3641,152.4061,1/1/1928,1/2/2022,88.7,94,  N
57023,EBOR (WONGWIBINDA)                       ,-30.2892,152.1701,NA,1/3/2022,135.7,99,  N
61331,ECCLESTON (MARILA PARK)                  ,-32.2167,151.5167,1/10/1973,1/6/1976,2.8,100,  N
61292,ECCLESTON (MASSEYS CREEK)                ,-32.254,151.4755,1/7/1969,1/6/2008,39,100,  N
61189,ECCLESTON (SHELLBROOK)                   ,-32.2,151.5,1/5/1960,1/6/1981,21.2,100,  N
61398,ECCLESTON (WILLOW GROVE)                 ,-32.2742,151.5096,1/2/2003,1/4/2003,0.3,100,  N
66110,ECKERSLEY                                ,-34.0833,150.95,NA,1/3/1914,9.8,44,  N
54086,EDDY PARK (GUM FLAT)                     ,-29.7167,150.8333,NA,1/12/1910,14.2,94,  N
69096,EDEN (CHIP MILL)                         ,-37.1,149.9333,1/2/1971,1/2/1974,2.4,78,  N
69091,EDEN (DIRIDGEE)                          ,-37.2333,149.9167,1/3/1967,1/11/1972,4.8,84,  N
69015,EDEN (MARINE RESCUE EDEN)                ,-37.075,149.914,NA,1/2/2022,149.7,98,  N
69029,EDEN (TIMBILLICA)                        ,-37.3623,149.6984,1/9/1909,1/2/2022,112.5,100,  N
58112,EDEN CREEK                               ,-28.5833,152.9,1/10/1965,1/7/1967,1.8,100,  N
58139,EDEN CREEK (KARINGAL)                    ,-28.5917,152.8958,1/3/1969,1/5/1997,28.3,100,  N
53010,EDGEROI                                  ,-30,150,NA,1/3/1949,62.9,99,  N
61393,EDGEWORTH WWTP                           ,-32.9319,151.6172,1/1/1990,1/10/2019,29.8,100,  N
63102,EDITH                                    ,-33.7833,149.9167,1/2/1951,1/8/1972,19,88,  N
63103,EDITH (MELROSE PARK)                     ,-33.7833,149.9333,1/7/1954,1/6/1967,5.8,44,  N
51012,EDITHVILLE                               ,-31.9,148.1,1/9/1908,1/2/1949,39.8,98,  N
61154,EGLINFORD                                ,-32.9667,151.2667,1/5/1959,1/7/1970,10.8,95,  N
75021,ELAMANG                                  ,-34.2,145.4,1/5/1901,1/5/1969,63.1,93,  N
60121,ELANDS (BLACK SANDS CREEK)               ,-31.5667,152.2401,1/11/1987,1/2/2022,34.3,100,  N
60131,ELANDS POST OFFICE                       ,-31.6231,152.2925,1/12/1989,1/9/1992,2.8,100,  N
60012,ELANDS POST OFFICE                       ,-31.6333,152.3,1/11/1912,1/11/1989,77,100,  N
61092,ELDERSLIE                                ,-32.5932,151.3335,1/1/1927,1/3/2022,92.8,97,  N
48188,ELDORADO                                 ,-30.4667,145.1,NA,1/3/1911,20.3,82,  N
61103,ELLALONG                                 ,-32.9,151.3,NA,1/12/1931,29.8,81,  N
58157,ELLANGOWAN (EAGLEHAWK)                   ,-29,153.05,1/10/1972,1/12/1980,8.3,100,  N
58101,ELLANGOWAN (MOUNT BOOMERANG)             ,-29,153.05,1/12/1964,1/6/1967,2.5,97,  N
58154,ELLANGOWAN (YORKLEA ROAD)                ,-28.9667,153.05,1/7/1971,1/3/1972,0.8,100,  N
60094,ELLENBOROUGH POST OFFICE                 ,-31.45,152.4333,1/9/1969,1/12/1969,0.3,100,  N
72016,ELLERSLIE                                ,-35.35,148,NA,1/12/1947,50,100,  N
55212,ELLERSLIE 2                              ,-31.5,149.9,NA,1/2/1921,36.8,99,  N
61104,ELLERSTON                                ,-31.8,151.3,NA,1/2/1944,59.9,100,  N
60014,ELLERSTON (GLENROCK)                     ,-31.6833,151.4,NA,1/7/1971,72,94,  N
61356,ELLERSTON (HUNTERS VALE)                 ,-31.7833,151.3667,NA,1/5/1986,75.3,82,  N
61246,ELLERSTON (HUNTERS VALLEY)               ,-31.7961,151.3556,1/11/1966,1/6/1994,26.7,96,  N
61330,ELLERSTON (LIMBERLOST)                   ,-31.7167,151.2167,1/7/1973,1/2/1986,12.7,100,  N
61312,ELLERSTON (POITREL)                      ,-31.7,151.2167,1/8/1970,1/1/1972,1.4,94,  N
61196,ELLERSTON (POITREL)                      ,-31.7069,151.2131,1/12/1960,1/2/2022,61.3,100,  N
61155,ELLERSTON 2 POST OFFICE                  ,-31.8333,151.3167,1/12/1960,1/6/1972,11.2,96,  N
64010,ELONG ELONG (BENDEELA ST)                ,-32.1141,149.0365,1/1/1926,1/2/2022,85.6,89,  N
46058,ELSINORA                                 ,-29.5,143.5833,NA,1/4/1916,32.8,99,  N
56145,ELSMORE                                  ,-29.8,151.2,1/3/1936,1/7/1945,9.4,100,  N
56111,ELSMORE (DANTHONIA)                      ,-29.7828,151.3617,1/8/1958,1/3/2022,63.7,100,  N
56165,ELSMORE (ELMORE STATION)                 ,-29.8109,151.233,1/9/1964,1/12/2012,47.8,99,  N
56110,ELSMORE (KIA TAMI)                       ,-29.7333,151.4,1/9/1958,1/7/1970,11.9,100,  N
56120,ELSMORE (NEWSTEAD NORTH)                 ,-29.8167,151.35,NA,1/12/1979,91.3,99,  N
56121,ELSMORE (PARADISE CREEK)                 ,-29.8797,151.4142,1/9/1958,1/12/2012,53.4,98,  N
56122,ELSMORE (PARADISE EAST OUTSTATION)       ,-29.8833,151.4667,1/1/1959,1/2/1964,5.2,100,  N
56123,ELSMORE (PARADISE STATION)               ,-29.8783,151.4658,1/1/1954,1/3/2012,58.1,100,  N
56118,ELSMORE (THE VIEW)                       ,-29.8,151.25,1/9/1958,1/3/1965,6.3,95,  N
56119,ELSMORE POST OFFICE                      ,-29.8,151.2833,1/9/1958,1/10/1974,15.8,97,  N
56140,EMMAVILLE (BEN VALE)                     ,-29.4684,151.6667,1/8/1960,1/3/2022,61.6,100,  N
56089,EMMAVILLE (BIG BEN)                      ,-29.5,151.6,1/9/1958,1/6/1961,2.8,100,  N
56087,EMMAVILLE (RED HILL)                     ,-29.4833,151.55,1/1/1959,1/4/1971,12.1,98,  N
56088,EMMAVILLE (SEVERN VALLEY)                ,-29.5085,151.676,1/1/1959,1/7/2020,61.3,100,  N
56029,EMMAVILLE (STRATHBOGIE)                  ,-29.4558,151.4791,NA,1/10/2021,149,100,  N
